Sample,periodicity_autocorrelation,periodicity_fourier,periodicity_information,uniformity_autocorrelation,uniformity_entropy,uniformity_theil_index,uniformity_gini_index,ratio_cds:leader,ratio_cds:trailer,ratio_leader:trailer,prop_reads_CDS,prop_reads_leader,prop_reads_trailer,periodicity_trips-viz,periodicity_dominance
SRR1585490,0.0,0.273950061187839,0.2001718686732759,0.0,0.7107097836617673,0.0315412694560262,0.0,17.932660268560824,8.028791438499951,0.447718928383195,0.8462318474887771,0.0471921354182358,0.1054122980125134,0.3078604502733872,0.453722712170112
SRR1585491,1.55838481545489,0.2610864849576084,0.1962918491509054,0.9279291403781216,0.7104291244399892,0.031453233239465,0.925,16.0244151868122,8.452968718192306,0.5275055981543055,0.845834692736425,0.0527843347876258,0.1000633841141823,0.2577835881918024,0.4435434480637771
SRR1585492,0.0,0.3202647985490297,0.2146365582384272,0.0,0.7094211117451238,0.0325969836688201,0.0,12.516090938812956,7.12649203138545,0.569386405565805,0.8186527157871084,0.0654079936471621,0.1148745263458926,0.3497516567507002,0.4682243172467926
SRR1585493,0.0,0.2902605958614953,0.2200498531486256,0.0,0.7087530624171184,0.0316266881647442,0.0,16.064453547435686,7.233901766688507,0.4503048762491662,0.8320862132178211,0.0517958258082913,0.1150435207691158,0.298980978779618,0.4637204412920074
SRR1585494,0.0,0.287159958615931,0.2192696575869754,0.0,0.7098264166804802,0.0318320628916383,0.0,16.394454678909646,9.105744250553562,0.5554161104405311,0.8531512106271865,0.0520402301648346,0.0937001251481968,0.2992621259134641,0.4588307319855209
SRR1585495,0.0,0.2742072098377365,0.205034598509831,0.0,0.7103029318497569,0.0316557453889296,0.0,15.89704810688071,9.299526130768138,0.5849844617846397,0.853476249958183,0.0536884248987462,0.0917767184781012,0.2659706224765301,0.4464936603863016
SRR1585496,0.0,0.2684628399164184,0.2269737290078429,0.0,0.7100131309694205,0.0315569912867894,0.0,14.525504718671604,9.043341369842638,0.6225836241144862,0.8467547389892671,0.0582989255486143,0.0936330848622189,0.2633433557644887,0.4549405549841969
SRR1585497,0.0,0.2642894435883804,0.1631484930813106,0.0,0.7107175260787431,0.0314607277422527,0.0,14.195922010938872,8.632979273420805,0.6081309313173556,0.842225934186151,0.0593284670551058,0.0975587065216142,0.2496571963252807,0.4292467624840666
SRR1585498,0.0,0.272934732553112,0.2139568474083034,0.0,0.7102774485010248,0.0316542914378735,0.0,17.396582720879056,8.98775073469585,0.5166388640171794,0.8546069876708942,0.0491249514254424,0.0950860211255166,0.3347417407124212,0.4623608723744041
SRR1585499,0.0,0.2953323010476689,0.2289360849975659,0.0,0.7100811959332469,0.0320680242307106,0.0,17.785904851126226,7.731827970792838,0.4347165935897407,0.8426441633133303,0.0473767755919081,0.1090021855479825,0.3247769109106522,0.467337674003376
SRR1585500,0.0,0.3297605925348182,0.1403971811859374,0.0,0.7067713013998919,0.0317327149639248,0.0,11.15423349026914,5.9528778927850015,0.5336877606137832,0.7942183094429464,0.0712902838728395,0.1336174190979421,0.1645976735720431,0.40848038147185
SRR1585501,1.5392390509985996,0.2710988399897487,0.1738394284512513,0.924026552612976,0.711419165433637,0.0315243993200292,0.925,13.522654498180836,8.667073027518832,0.640929858016027,0.8397407104996102,0.0620986867021481,0.0968916793405499,0.2795442819354145,0.4360062634481315
SRR1585502,0.0,0.2699501457781225,0.1852069259746171,0.0,0.7107257619914608,0.0315686816405706,0.0,18.245409314190542,9.012501822423094,0.4939599691750151,0.8568654193161932,0.0469664829221565,0.0950750365715106,0.1962748838015808,0.4294767548166868
SRR1585503,0.0,0.2626455918178095,0.2156882842509424,0.0,0.71080018402067,0.0314655875956862,0.0,16.812697130383217,7.969880855623252,0.4740393997355968,0.8430071074428955,0.0501410090642682,0.1057739274250941,0.2890078795857813,0.4545200140280095
SRR1585504,0.0,0.2614011423525663,0.2256458009019997,0.0,0.7108067053819058,0.0314702451867719,0.0,13.507944257791165,10.391162915053982,0.7692630882053372,0.8535748443406512,0.0631919173749143,0.0821445248749051,0.3100938394766724,0.461248423067209
SRR1585505,0.0,0.2661479115117424,0.2020595656576505,0.0,0.7108784236307572,0.0315091653011019,0.0,15.807079906745576,7.103174854439069,0.4493666696407242,0.8297036526533426,0.0524892840933922,0.1168075843404884,0.2399271523726096,0.4408205047873101
SRR1585506,0.0,0.2756083790332423,0.2155208349805971,0.0,0.7108712955172096,0.0317619801622799,0.0,15.559578444879298,10.238437287078632,0.6580150820505122,0.8597759747706144,0.0552566796146351,0.0839752768313148,0.3013040759349121,0.4561633811532795
SRR1585507,0.0,0.2773170228174832,0.2172191815390714,0.0,0.7107631975146979,0.0315283278674892,0.0,18.18263232935305,9.116063479096129,0.5013610413482128,0.8576177609655048,0.0471671320063646,0.0940775766309405,0.3288991714676058,0.4614477256576766
SRR1585508,0.0,0.2704892340164458,0.2014997347277259,0.0,0.710161932704852,0.0315612013471724,0.0,18.76060699532476,7.818093831442153,0.4167292579280864,0.8455916448966585,0.0450727086015681,0.1081582532161592,0.3012978799329633,0.4513425967536086
SRR1585509,0.0,0.2650533024476263,0.204833114716184,0.0,0.7106437285816906,0.0315041009253667,0.0,16.75075293784996,7.151691188843934,0.4269474462060741,0.8327210662541202,0.0497123668721092,0.1164367355136132,0.2775931488665182,0.4492857459683628
SRR1585510,0.0,0.291173393601541,0.2317501498424967,0.0,0.7106721837866264,0.0317204378621549,0.0,18.53681856899489,9.95259736918829,0.5369096823246269,0.8654089532177521,0.046686808374417,0.0869533231332384,0.2603793141904967,0.4584724142971521
SRR1585511,0.0,0.2788611373504441,0.2222149633674599,0.0,0.7104271978667228,0.0317494720657289,0.0,16.254922055698678,10.406930967229298,0.640232597336929,0.8628124522768854,0.0530805800735222,0.0829067157214537,0.2967678837555887,0.4588502002340898
SRR1585512,0.0,0.2673247963860453,0.1984584146601131,0.0,0.7105918964691835,0.0315243043094566,0.0,20.462081104400344,8.292406199911046,0.4052572246978229,0.854205867080988,0.0417457398454478,0.1030110528599757,0.2624320666006255,0.4447958134974543
SRR1585513,1.5748988115340103,0.2695428652140446,0.2032098801266189,0.9308281159924008,0.7100936791189635,0.0315207993747045,0.925,18.446523926148128,6.633855604097309,0.3596263247567068,0.8288912920664899,0.0449355265708053,0.1249484542459268,0.2491547536777124,0.4439711496557434
SRR1585514,0.0,0.2677602977428491,0.2093667843707282,0.0,0.7100528754591732,0.0315512077784028,0.0,20.17955080921657,8.585782975201397,0.4254694792948527,0.8567091283341475,0.0424543210319064,0.0997835058013131,0.2873490344969489,0.4525250757223314
SRR1585515,1.7523200856562466,0.3289893674738544,0.2476188595383951,0.927951552809094,0.7096929596572318,0.0327406356926011,0.925,17.82839526149496,8.447986699058118,0.4738500899912026,0.8504465446414643,0.0477021150746191,0.1006683544797462,0.3386863902058912,0.4747230395047318
SRR1585516,0.0,0.2731242973781612,0.2218950779941919,0.0,0.7110846565529104,0.0316202770257871,0.0,17.473799580294624,9.069792396872472,0.5190509571313022,0.8556202669314582,0.0489662599328627,0.0943370791775251,0.26424371201265,0.4527222731439047
SRR1585517,0.0,0.2645227051369083,0.2250094879181472,0.0,0.7103287985428413,0.0314919233150256,0.0,17.5046316996274,7.3685171913721,0.4209467138648193,0.8374666617302031,0.0478425597209252,0.1136549439368571,0.2749610317128107,0.4550913738645167
SRR1585518,0.0,0.2779914664491253,0.1827795278942759,0.0,0.7103640516139959,0.0317648738503035,0.0,16.625575830915416,8.101643408774898,0.4873000184276213,0.8438803589719429,0.0507579207825769,0.1041615408642059,0.2691241252536379,0.4387599983075341
SRR1585519,0.0,0.2673558224276756,0.1992650493445685,0.0,0.7110077721041528,0.0315219220844613,0.0,19.28954563063811,7.108679069805387,0.3685249619625295,0.83770496610176,0.0434279138450179,0.1178425298892875,0.2543768027933809,0.442617024393325
SRR1585520,0.0,0.2654420512686918,0.1998205817118668,0.0,0.7105400873307751,0.0314956819395646,0.0,17.382977970825845,7.2053620387828525,0.414506769258739,0.8350672596668672,0.0480392693278723,0.1158950176224643,0.240547148856233,0.440502969355347
SRR1585521,0.0,0.2631823105232302,0.2160400988592699,0.0,0.7103754993236501,0.0314642961270157,0.0,14.83271754742212,9.51526955239814,0.641505477467402,0.8519473263802759,0.0574378218709535,0.0895338887586676,0.2797765930439198,0.450265769970851
SRR1585522,0.0,0.272771957549269,0.1947603744165808,0.0,0.7110175840203191,0.0316593677083854,0.0,15.619247595755668,8.490521766304203,0.5435935191021234,0.8452092027596679,0.0541161707366584,0.0995473490790122,0.2302907934387406,0.4332522579643724
SRR1585523,1.5577129419122595,0.2730210539543004,0.2052131563782623,0.9238676811814732,0.7106006823570922,0.0315919432131346,0.925,16.836129337003936,8.255263710255278,0.490330262081744,0.8459587231561818,0.0502465396191541,0.1024763732864977,0.2431829982465398,0.4406939085363766
SRR1585524,0.0,0.2746399023651873,0.2132924247629645,0.0,0.7106369832789875,0.031663058715111,0.0,15.87801532616395,7.2397849525509725,0.4559628394249742,0.8315925444387672,0.052373749382385,0.1148647486454628,0.2530232632867438,0.4462418592062777
SRR1585525,0.0,0.2916151410630515,0.2432064902207384,0.0,0.7095870435709359,0.0319240491586306,0.0,15.522947911627156,5.593505667142197,0.3603378494205017,0.8035457366638353,0.0517648335548983,0.1436568044126578,0.3273373210704654,0.4722763292642246
SRR1585526,0.0,0.266486581014093,0.2078323031913045,0.0,0.7099990315561853,0.0314855430883056,0.0,14.357160230016852,6.565081823959327,0.4572688274547188,0.8173714243891487,0.0569308607675938,0.1245039282699441,0.2612389242733215,0.4486860906384839
SRR1585527,0.0,0.2799006999793583,0.1792991436617307,0.0,0.7095353945594682,0.0316868921027996,0.0,15.645740181529916,8.499421501374082,0.5432418922185481,0.8456386495051318,0.0540535113370922,0.0994985471971786,0.2067069165076485,0.4282636790637065
SRR1585528,1.5674645004334724,0.2622154076258192,0.2052443586420665,0.9324557375175464,0.7100922315029286,0.0314622630078712,0.925,16.38864175426615,7.116127674921856,0.434210948144586,0.8314607714856485,0.0507339360835656,0.1168416786825742,0.2652001846611432,0.447685159621043
SRR1585529,0.0,0.2626410085135345,0.2179406204481762,0.0,0.7097649342536559,0.0314569093452271,0.0,18.61676611725433,7.4863420437517725,0.4021290269534678,0.8413835893248293,0.0451953151151749,0.1123893346358427,0.2708665044700056,0.4511682453625726
SRR1585530,0.0,0.2714208732571579,0.2298806594119554,0.0,0.7094099112804487,0.0315168680583891,0.0,17.2798386167147,7.001522652965904,0.4051844932274638,0.8321175365608692,0.0481550999442677,0.1188484519685027,0.2765559057400062,0.4577474021421283
SRR1585531,0.0,0.2743187473443437,0.2364617077655826,0.0,0.7099586004402212,0.0316207824394486,0.0,14.36921950677482,4.9074710693620975,0.3415266269019216,0.7846216167503315,0.0546052525915866,0.1598837198927139,0.316572827681422,0.4665548153597945
SRR1585532,0.0,0.2641256433888885,0.2161091074300089,0.0,0.71108931904484,0.0314790429455079,0.0,17.506556173974037,8.386165165585577,0.4790299749560564,0.8489831668452961,0.048495119685881,0.1012360858844579,0.2842788518079592,0.4539668002759799
SRR1585533,0.0,0.2803499177972743,0.1729881015160887,0.0,0.7090253291512792,0.0316709526058494,0.0,12.536299333165172,8.831167693593677,0.7044477368397343,0.8375141358249567,0.0668077183680879,0.0948472618921892,0.2160661757050841,0.4262426979331417
SRR1585534,0.0,0.2613192302266387,0.2132575080401146,0.0,0.7106886731816582,0.0314717926238102,0.0,16.855279325377456,6.820723038186206,0.4046638982669878,0.8283847175376171,0.0491471751555754,0.1214517103925068,0.2459789629866872,0.4456068187122111
SRR1585535,0.0,0.266017486930767,0.2110936682198248,0.0,0.710818187294838,0.0315046606033195,0.0,16.105122851716857,8.319079708996966,0.516548665017487,0.844753384314599,0.052452545351053,0.1015455242903457,0.2541414722769256,0.4467717463619557
SRR1585536,0.0,0.3064672045754641,0.2353988141356838,0.0,0.7099129484909316,0.0322299590598822,0.0,13.861928832621455,9.64696038963469,0.6959320384716141,0.8495192253369942,0.0612841749243905,0.0880615158054905,0.3053151584675045,0.464991187537579
SRR1585537,0.0,0.2730116278344277,0.179107312633767,0.0,0.7090448877481262,0.031538142688098,0.0,12.41511526312252,7.844427458224516,0.6318449158120475,0.827150748036408,0.0666656223267929,0.1056073778136334,0.2466909727079397,0.4354487008470825
SRR1585538,0.0,0.3023007742174409,0.2020003127533176,0.0,0.7100703482785378,0.0321923932749602,0.0,16.396629465537547,6.719303083998097,0.4097978244931823,0.8257117213597179,0.0503585012872608,0.1228887849591002,0.238630448515477,0.4433021332269931
SRR1585539,1.5546132556353327,0.2760804390778963,0.2243690487403905,0.929088523812411,0.7107705992462526,0.0315381741984919,0.925,20.28814539111386,9.723443036498054,0.4792672198000359,0.8671021377672209,0.042739306829412,0.089176361461241,0.2848462885650398,0.4575964411560384
SRR1585540,0.0,0.2867433752390799,0.2032320103103427,0.0,0.7101184076530811,0.0319227312173967,0.0,16.077515331415867,8.600274022690066,0.534925568124629,0.8477116290596505,0.0527265592920956,0.0985709171868153,0.3106109681731615,0.4551636260015805
SRR1585541,0.0,0.278569740597167,0.2485177198640585,0.0,0.7108891115789001,0.0316076551858088,0.0,17.52063833292797,10.350871175426317,0.5907816244327742,0.8658506040016564,0.0494193395297332,0.0836502358157705,0.3087894729997529,0.4689402532628918
